Satellite Name,Culmination Time (UTC),Altitude (km)
CXO,2025-01-08 06:43:32,46881.64998601868
ASBM-2,2025-01-08 08:02:25,42609.58092532071
MERIDIAN 9,2025-01-08 06:16:43,40126.16155259953
COSMOS 2510,2025-01-08 06:35:59,39476.0125338434
BEIDOU-3S IGSO-2S,2025-01-08 08:49:38,38494.910162705964
EUTELSAT HOTBIRD 13E,2025-01-08 06:01:24,38492.68227076904
SPIRALE B,2025-01-08 08:50:57,30058.350904117404
GSAT0218 (GALILEO 22),2025-01-08 06:16:55,25501.849210573582
GSAT0205 (GALILEO 9),2025-01-08 07:55:30,24121.61128864545
GSAT0232 (GALILEO 32),2025-01-08 08:50:41,23631.487317415857
GSAT0214 (GALILEO 18),2025-01-08 06:48:24,23297.912750179217
BEIDOU-3 M28,2025-01-08 08:16:18,21800.90130067935
BEIDOU-3 M23,2025-01-08 07:33:34,21633.35221234811
BEIDOU-3 M3,2025-01-08 07:26:06,21608.051450606945
NAVSTAR 44 (USA 135),2025-01-08 07:06:05,21431.154793432634
NAVSTAR 50 (USA 156),2025-01-08 06:14:50,21241.563107712624
NAVSTAR 80 (USA 309),2025-01-08 08:05:51,20978.877722535308
NAVSTAR 64 (USA 206),2025-01-08 07:03:09,20716.38929890678
NAVSTAR 55 (USA 178),2025-01-08 06:47:23,20630.09341651464
NAVSTAR 69 (USA 248),2025-01-08 06:16:50,20406.694586272264
NAVSTAR 43 (USA 132),2025-01-08 08:21:56,20079.05618274238
COSMOS 2501 [GLONASS-K],2025-01-08 06:23:14,19571.563564828666
COSMOS 2477 [GLONASS-M],2025-01-08 06:00:55,19428.530339150344
COSMOS 2569 [GLONASS-K2],2025-01-08 07:34:03,19198.445959639186
COSMOS 2475 [GLONASS-M],2025-01-08 07:45:17,19197.15219260035
COSMOS 2436 [GLONASS-M],2025-01-08 07:39:08,19142.97269322038
SKIF-D,2025-01-08 07:06:50,9764.053487054367
DSX,2025-01-08 06:11:58,9503.557409912579
ROBUSTA-1F (MTCUBE 2),2025-01-08 06:17:03,6811.6641938107805
GREENCUBE,2025-01-08 07:18:46,6709.738982791676
RADIO ROSTO (RS-15),2025-01-08 08:58:48,2965.801267549842
STRELA 3,2025-01-08 08:03:51,2279.229012544939
GONETS-M 4,2025-01-08 07:38:20,2271.7660994778516
COSMOS 2468,2025-01-08 06:59:50,2180.883188312811
GONETS-M 3,2025-01-08 07:10:58,2169.3033989853425
GONETS-M 15,2025-01-08 08:13:39,2118.5892865888413
COSMOS 2532,2025-01-08 06:31:24,2089.149681612042
COSMOS 2467,2025-01-08 07:03:36,2088.458044463707
COSMOS 2509,2025-01-08 07:51:18,2084.4391885022796
COSMOS 2553,2025-01-08 07:43:50,2080.429270934031
GLOBALSTAR M073,2025-01-08 08:50:41,2026.940869173901
ONEWEB-0201,2025-01-08 07:38:16,1998.4133894144638
ONEWEB-0346,2025-01-08 08:04:48,1992.0419742063432
ONEWEB-0355,2025-01-08 07:04:47,1991.4656951456413
ONEWEB-0179,2025-01-08 07:37:08,1983.003740706404
ONEWEB-0388,2025-01-08 06:03:32,1980.8537218108752
ONEWEB-0500,2025-01-08 08:38:15,1971.8082936071844
ONEWEB-0331,2025-01-08 08:07:06,1954.9374441624363
ONEWEB-0174,2025-01-08 07:07:07,1953.8526777537713
ONEWEB-0530,2025-01-08 06:35:57,1951.946036182559
ONEWEB-0369,2025-01-08 06:05:50,1944.5901423574749
ONEWEB-0662,2025-01-08 07:34:52,1942.6170824322287
ONEWEB-0490,2025-01-08 08:35:59,1936.1044846765271
GLOBALSTAR M080,2025-01-08 06:00:24,1935.6280381106374
COSMOS 2386,2025-01-08 06:32:00,1924.923643055005
RADIO ROSTO (RS-15),2025-01-08 06:47:39,1924.0456447224697
ONEWEB-0320,2025-01-08 08:09:24,1920.3196171995714
ONEWEB-0363,2025-01-08 06:33:43,1918.802022201575
ONEWEB-0173,2025-01-08 07:09:26,1917.0170014988703
ONEWEB-0374,2025-01-08 07:32:37,1910.9306881264654
ONEWEB-0639,2025-01-08 06:08:06,1910.106665213887
ONEWEB-0499,2025-01-08 08:33:45,1900.1079138640468
GLOBALSTAR M078,2025-01-08 07:38:07,1896.1356856370678
YAOGAN-31 03B,2025-01-08 07:06:21,1889.2316390854558
ONEWEB-0560,2025-01-08 08:11:43,1886.0753666439928
ONEWEB-0335,2025-01-08 07:11:44,1885.0298571874655
ONEWEB-0367,2025-01-08 06:31:28,1883.7516154717057
ONEWEB-0186,2025-01-08 07:30:22,1876.9125162366697
ONEWEB-0380,2025-01-08 06:10:26,1873.974674703047
YAOGAN-34 02,2025-01-08 07:16:20,1873.6074804010977
GMS-T,2025-01-08 06:48:01,1868.9926548611586
YAOGAN-31 03A,2025-01-08 07:06:33,1865.3473108463309
YAOGAN-31 03C,2025-01-08 07:06:15,1864.2920624531603
ONEWEB-0675,2025-01-08 08:31:30,1863.3463432373512
ONEWEB-0377,2025-01-08 06:29:26,1851.8985158316711
ONEWEB-0303,2025-01-08 08:14:01,1849.387059672672
ONEWEB-0155,2025-01-08 07:14:04,1848.4503572277306
ONEWEB-0372,2025-01-08 06:29:00,1844.4261996876828
