Satellite Name,Culmination Time (UTC),Altitude (km)
THEMIS A,2025-01-07 20:50:10,80449.03732185047
2024-252B,2025-01-07 18:01:22,46944.3061729411
2024-252C,2025-01-07 18:08:43,44570.87262597408
2024-252D,2025-01-07 18:13:21,42914.22186358211
ASTRA 2E,2025-01-07 19:33:29,38412.323210750874
ASIASAT 8 (AMOS-7),2025-01-07 18:50:22,38232.43322827153
INTELSAT 10-02,2025-01-07 20:12:09,38188.274412697654
MEV-2,2025-01-07 20:12:09,38188.274412697654
THOR 6,2025-01-07 18:37:48,38185.5482443403
ASTRA 4A,2025-01-07 19:45:16,38139.26690007758
SES-5,2025-01-07 19:50:51,38134.724573970794
EUTELSAT HOTBIRD 13F,2025-01-07 18:14:04,38126.04312482421
EUTELSAT KA-SAT 9A,2025-01-07 18:33:31,38118.74372324914
ECHOSTAR 21,2025-01-07 19:56:46,37937.715088500256
OPS 8701 (DSP 10),2025-01-07 19:03:25,37874.16171580476
SBIRS GEO-5 (USA 315),2025-01-07 19:08:50,37739.77871333079
SKYNET 4C,2025-01-07 19:56:40,37487.448108405835
COSMOS 2552,2025-01-07 20:28:41,33354.718858054985
INTEGRAL,2025-01-07 20:36:41,31846.19031689468
SHIYAN 10-02 (SY-10 02),2025-01-07 19:56:05,25499.475473926348
GSAT0205 (GALILEO 9),2025-01-07 20:41:36,24620.27944486833
BEIDOU-3 M17,2025-01-07 19:34:36,24169.254477656163
GSAT0218 (GALILEO 22),2025-01-07 18:55:26,23577.711777225602
GSAT0222 (GALILEO 26),2025-01-07 19:22:49,23252.90686456323
BEIDOU-3 M19,2025-01-07 20:46:57,22985.69747146187
BEIDOU-3 M24,2025-01-07 18:05:36,22773.565137407928
BEIDOU-3S M2S,2025-01-07 18:04:47,21606.791552441016
BEIDOU-3 M7,2025-01-07 19:20:18,21596.46484871934
COSMOS 2456 [GLONASS-M],2025-01-07 19:53:24,21348.307194925375
NAVSTAR 79 (USA 304),2025-01-07 19:12:29,21338.605480144983
NAVSTAR 75 (USA 265),2025-01-07 20:27:56,20854.46036048806
COSMOS 2564 [GLONASS-M],2025-01-07 20:01:04,20841.17254974261
COSMOS 1989 (ETALON 1),2025-01-07 20:45:06,20697.10129304678
NAVSTAR 51 (USA 166),2025-01-07 18:33:52,20323.568086137573
NAVSTAR 68 (USA 242),2025-01-07 20:03:15,20061.01950638551
COSMOS 2529 [GLONASS-M],2025-01-07 18:41:58,19868.531242942394
COSMOS 2024 (ETALON 2),2025-01-07 19:32:29,19555.36902991759
COSMOS 2514 [GLONASS-M],2025-01-07 19:41:13,19552.515917239172
GSAT0202 (GALILEO 6),2025-01-07 18:48:40,18841.402604714513
SKIF-D,2025-01-07 20:36:32,8781.292120674061
LCS 1,2025-01-07 19:16:46,3650.39398065622
EXPRESS-MD2,2025-01-07 19:28:56,2486.1770601542494
COSMOS 2507,2025-01-07 18:29:14,2335.851492913475
COSMOS 2498,2025-01-07 20:36:11,2305.5247508407297
GLOBALSTAR M093,2025-01-07 20:09:14,2263.3817110667273
GONETS-M 21,2025-01-07 20:09:23,2259.3315997119803
GONETS-M 16,2025-01-07 18:51:49,2187.1004426402615
COSMOS 2451,2025-01-07 19:26:37,2177.2209544897405
COSMOS 2481,2025-01-07 20:54:22,2123.5560449171458
GLOBALSTAR M097,2025-01-07 20:48:40,2097.6336761343864
COSMOS 2496,2025-01-07 20:50:59,2070.343188813233
ONEWEB-0648,2025-01-07 20:00:51,2015.2279689689635
GLOBALSTAR M079,2025-01-07 20:15:25,2013.4705954725587
ONEWEB-0350,2025-01-07 19:25:39,2002.1622684995564
GONETS-M 8,2025-01-07 20:51:48,1999.7736152214295
ONEWEB-0187,2025-01-07 19:59:42,1995.7405709820973
ONEWEB-0340,2025-01-07 20:26:10,1993.3625495559777
ONEWEB-0206,2025-01-07 19:58:31,1980.0879299517171
ONEWEB-0509,2025-01-07 18:25:25,1972.124113095135
ONEWEB-0534,2025-01-07 18:58:24,1968.94984546133
ONEWEB-0113,2025-01-07 19:27:56,1965.848791644554
ONEWEB-0324,2025-01-07 20:28:25,1957.024658781604
ONEWEB-0199,2025-01-07 19:56:14,1944.3204989938647
ONEWEB-0529,2025-01-07 20:57:50,1942.2016384100066
ONEWEB-0644,2025-01-07 18:27:40,1938.7776290633346
ONEWEB-0349,2025-01-07 18:56:05,1935.5219390152045
ONEWEB-0148,2025-01-07 19:30:10,1931.502161688781
GLOBALSTAR M070,2025-01-07 19:23:38,1927.1637310640692
ONEWEB-0343,2025-01-07 20:30:40,1922.260552606179
ONEWEB-0383,2025-01-07 19:53:55,1909.0340309505148
ONEWEB-0507,2025-01-07 20:55:31,1906.3213143036196
ONEWEB-0519,2025-01-07 18:29:55,1900.7335359068215
ONEWEB-0356,2025-01-07 18:53:47,1900.2231967344442
